invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
RINV-04399000061,2022-11-29,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,POINT(-91.53043 41.6426),,JOHNSON,1081400.0,AMERICAN SCHNAPPS,421,SAZERAC COMPANY  INC,85437,MR BOSTON BLUE CURACAO,12,1000,4.5,6.75,-48,-324.0,-48.0,-12.68
RINV-04683400018,2023-06-09,3930,KUENNEN'S LIQUOR STORE,106 W MAINS ST PO BOX 142,ST LUCAS,52166.0,POINT(-91.93384701 43.066768997),,FAYETTE,1062400,SPICED RUM,260,DIAGEO AMERICAS,1799,CAPTAIN MORGAN ORIGINAL SPICED BARREL,6,1750,18.0,27.0,-12,-324.0,-21.0,-5.54
RINV-04650600145,2023-05-22,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854388964 41.6174140110001),,DALLAS,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,16676,BASIL HAYDEN 8YR,12,750,22.5,33.75,-24,-810.0,-18.0,-4.75
RINV-04532200057,2023-03-01,5441,LIQUOR ON THE CORNER,300 EAST MAIN,CHEROKEE,51012,POINT(-95.54647 42.74958),,CHEROKEE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19477,MAKERS MARK,12,1000,22.5,33.75,-12,-405.0,-12.0,-3.17
RINV-04775300034,2023-07-31,4973,QUILLINS QUALITY FOODS WEST UNION,"303, HWY 150 N",WEST UNION,52175.0,POINT(-91.815246014 42.965227018),,FAYETTE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11.0,16.5,-6,-99.0,-10.5,-2.77
RINV-04629900045,2023-05-05,3842,BANCROFT LIQUOR STORE,107 NORTH PORTLAND STREET,BANCROFT,50517.0,POINT(-94.218242017 43.2935459970001),,KOSSUTH,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19.0,28.5,-6,-171.0,-10.5,-2.77
RINV-05426500210,2024-09-10,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,POINT(-92.32785 42.45998),,BLACK HAWK,1062500.0,FLAVORED RUM,370,PERNOD RICARD USA,42718,MALIBU COCONUT,6,1750,16.49,24.74,-6,-148.44,-10.5,-2.77
RINV-04689600130,2023-06-12,3645,WAL-MART 1764 / WINDSOR HEIGHTS,1001  73RD ST,WINDSOR HEIGHTS,50311.0,POINT(-93.71394498 41.59682701),,POLK,1062200,WHITE RUM,35,BACARDI USA INC,43128,BACARDI SUPERIOR,6,1750,15.5,23.25,-6,-139.5,-10.5,-2.77
RINV-05053200005,2023-12-27,10270,LIQUOR LOVERS  / ANKENY,1510 SOUTH ANKENY BOULEVARD PRAIRIE TRAIL SUITE 107-108,ANKENY,50023.0,POINT(-93.601740968 41.716028988),,POLK,1022200.0,100% AGAVE TEQUILA,395,PROXIMO,87402,JOSE CUERVO ESPECIAL SILVER,48,200,3.63,5.45,-48,-261.6,-9.6,-2.53
RINV-04410700105,2022-12-06,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,POINT(-91.60979 41.97687),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,-12,-94.2,-9.0,-2.37
